iter	Accuracy	MultiClass
0	0.6928494461	1.052955337
1	0.6986557827	1.013374964
2	0.6998767413	0.9790748627
3	0.7022333853	0.9486128264
4	0.7023535431	0.9215074024
5	0.7029775886	0.8974755726
6	0.7027062645	0.8760559805
7	0.7028496787	0.8570497502
8	0.7034543439	0.8394572376
9	0.7032566649	0.8236272323
10	0.7035745017	0.8090579837
11	0.7037295441	0.7956772039
12	0.7038225695	0.7837838156
13	0.7036791553	0.7729607692
14	0.7038303216	0.7628593834
15	0.7040124964	0.7536320145
16	0.704113274	0.7453575136
17	0.7046597983	0.7374337272
18	0.7050745366	0.7304499863
19	0.7053381086	0.7238559964
20	0.7055202834	0.7178091663
21	0.7056171849	0.7121919833
22	0.7060009147	0.7069931217
23	0.7060474275	0.7020398308
24	0.7062954952	0.6976395013
25	0.7061985938	0.6934759524
26	0.7064815461	0.6896227499
27	0.707787778	0.6843005059
28	0.709097886	0.6792127435
29	0.7111638255	0.6744270895
30	0.714667783	0.6704020032
31	0.7157143189	0.6666226458
32	0.716702714	0.6630594378
33	0.7174507934	0.6598638437
34	0.7185322139	0.656610199
35	0.7192686652	0.6538001256
36	0.7200167446	0.651371406
37	0.7205283844	0.6487733445
38	0.7211834384	0.6464256007
39	0.7218229881	0.6443306023
40	0.7223113716	0.642636695
41	0.7227454902	0.6407128312
42	0.7229237889	0.6390190019
43	0.7231718567	0.6373163404
44	0.7234393048	0.6356515858
45	0.723780398	0.6341196362
46	0.7241408715	0.6329209214
47	0.7243850632	0.63169741
48	0.7247494128	0.6303187374
49	0.725028489	0.6289927945
50	0.7251835314	0.6278880214
51	0.7253657062	0.6267659388
52	0.7255982697	0.6257946588
53	0.7257804445	0.6248449288
54	0.7258657178	0.6237713288
55	0.7261680504	0.6228354638
56	0.7263618534	0.6219073412
57	0.7266176733	0.6210081799
58	0.7267455832	0.6202014066
59	0.7268076002	0.6194737114
60	0.7269006256	0.6188268607
61	0.7270672961	0.6181516519
62	0.7271990821	0.6175134694
63	0.7273037357	0.6168623464
64	0.7274587781	0.6161270801
65	0.7275905641	0.6157277019
66	0.7276332008	0.6153717825
67	0.7277998713	0.6149111962
68	0.7279471616	0.6144128094
69	0.728237866	0.6137583547
70	0.7284588014	0.6132871654
71	0.7284898098	0.6128653773
72	0.7285944634	0.6122695102
73	0.7287146213	0.6117682681
74	0.7289471848	0.6114009866
75	0.728958813	0.6108978904
76	0.7290983511	0.6103795834
77	0.7292727738	0.6099116594
78	0.729485957	0.6094150313
79	0.7295712303	0.6088747305
80	0.7296487515	0.6085180954
81	0.7298192981	0.6082661036
82	0.729811546	0.6079290001
83	0.7299006954	0.6076660763
84	0.7300944983	0.6072935799
85	0.7302262843	0.6068787793
86	0.7303038055	0.606624832
87	0.7303425661	0.6063845679
88	0.7305169888	0.6059871354
89	0.7304123352	0.6057555578
90	0.7304937324	0.605555463
91	0.7306332705	0.6052724092
92	0.7307689326	0.604911687
93	0.7308425777	0.6045157689
94	0.730861958	0.6043711205
95	0.7309782398	0.6041807096
96	0.7312030512	0.6039113477
97	0.7312495639	0.6036339388
98	0.7314084824	0.6033849045
99	0.7315441444	0.6029916928
100	0.7315208881	0.6027941184
101	0.7316100374	0.6026039485
102	0.7316953107	0.6023780746
103	0.7317689559	0.602150558
104	0.7318077165	0.601985657
105	0.7318813616	0.6018451384
106	0.731842601	0.6016904013
107	0.7319007419	0.6015417901
108	0.7319201222	0.6013615452
109	0.7320092715	0.601181168
110	0.7321294294	0.6009801269
111	0.7320712885	0.6008449692
112	0.732172066	0.6006255116
113	0.7322030745	0.6003683274
114	0.7323968774	0.6002202103
115	0.7324278859	0.6000516712
116	0.7324472662	0.599887682
117	0.7325906804	0.5996833317
118	0.7326992101	0.5994811664
119	0.7327844834	0.5993473696
120	0.7327573509	0.5991638494
121	0.7328426242	0.5989977725
122	0.7328503764	0.5988626031
123	0.7329356497	0.5987071427
124	0.7330751878	0.5983754978
125	0.7331255766	0.5981992561
126	0.7331333287	0.5979326308
127	0.733218602	0.5977815277
128	0.7331992217	0.597628244
129	0.7333542641	0.5974933715
130	0.7333969007	0.5973514786
131	0.7333658922	0.5972248403
132	0.733416281	0.5969904078
133	0.7334356613	0.5968431877
134	0.7333775204	0.596693007
135	0.7334666698	0.5965723764
136	0.7336062079	0.5964408712
137	0.7335984558	0.5963415842
138	0.7336953573	0.5962593071
139	0.7337069854	0.5961501653
