iter	Passed	Remaining
0	371	1856884
1	545	1362752
2	866	1443194
3	2499	3121819
4	15746	15730396
5	53425	44467673
6	53603	38234901
7	53824	33586588
8	54035	29965739
9	54448	27169720
10	54702	24810093
11	54916	22827128
12	55128	21148193
13	55331	19705897
14	55543	18458792
15	55789	17378289
16	55924	16392551
17	56091	15524915
18	56268	14751197
19	56448	14055725
20	56645	13430360
21	56786	12849185
22	56971	12328159
23	57131	11845249
24	57316	11405923
25	57521	11004230
26	57728	10632798
27	57962	10292441
28	58126	9963647
29	58341	9665257
30	58515	9379464
31	58795	9127998
32	58961	8874637
33	59183	8644259
34	59321	8415148
35	59568	8213784
36	59832	8025702
37	59971	7831008
38	60170	7654017
39	60398	7489400
40	60693	7341006
41	60980	7198552
42	61148	7049131
43	61300	6904664
44	61434	6764652
45	61562	6630000
46	61784	6510995
47	62012	6397674
48	62133	6277977
49	62358	6173470
50	62567	6071531
51	62739	5969911
52	63015	5881831
53	63150	5784124
54	63397	5699975
55	63563	5611764
56	63789	5531820
57	63972	5450865
58	64162	5373369
59	64386	5301178
60	64528	5224694
61	64783	5159705
62	65260	5114180
63	65491	5050997
64	65897	5003106
65	66042	4937190
66	66268	4879178
67	66479	4821751
68	66821	4775282
69	67049	4722175
70	67356	4676027
71	67646	4629996
72	67871	4580856
73	68135	4535640
74	68390	4490945
75	68681	4449865
76	68907	4405586
77	69123	4361848
78	69333	4318850
79	69529	4276081
80	69701	4232859
81	69951	4195409
82	70179	4157527
83	70459	4123544
84	70669	4086370
85	71058	4060268
86	71342	4028825
87	71647	3999257
88	71812	3962607
89	71965	3926135
90	72087	3888780
91	72293	3856721
92	72475	3824045
93	72643	3791387
94	72828	3760236
95	73015	3729878
96	73212	3700632
97	73421	3672563
98	73664	3646786
99	73863	3619312
100	74113	3594888
101	74288	3567303
102	74484	3541269
103	74655	3514544
104	74914	3492446
105	75099	3467328
106	75352	3445792
107	75550	3422137
108	75786	3400652
109	76083	3382252
110	76262	3358985
111	76597	3342944
112	76838	3323083
113	77123	3305481
114	77349	3285653
115	77742	3273209
116	79038	3298693
117	83397	3450382
118	85918	3524119
119	85918	3524119
120	86188	3504290
121	86419	3483919
122	86540	3459506
123	86653	3435144
124	86798	3412434
125	86903	3388545
126	87024	3365657
127	87197	3345090
128	87355	3324293
129	87506	3303543
130	87650	3282832
131	87866	3265140
132	88071	3247300
133	88307	3230874
134	88477	3212243
135	88681	3195168
136	88883	3178241
137	89060	3160660
138	89290	3145216
139	89629	3133810
140	89856	3118663
141	90243	3109253
142	91802	3140042
143	92451	3139488
144	93024	3136356
145	93595	3133192
146	94127	3128756
147	94630	3123441
148	95411	3127292
149	95575	3111000
150	95695	3093528
151	95841	3077088
152	96005	3061435
153	96204	3047094
154	96414	3033286
155	96642	3020227
156	96863	3007111
157	97076	2993905
158	97322	2981880
159	97486	2967524
160	97686	2954396
161	97873	2941065
162	98089	2928749
163	98253	2915043
164	98433	2901994
165	98608	2888933
166	98812	2876875
167	98986	2864084
168	99108	2849948
169	99244	2836399
170	99418	2824060
171	99538	2810353
172	99767	2799860
173	99941	2787952
174	100125	2776462
175	100309	2765110
176	100498	2753990
177	100627	2741387
178	100820	2730643
179	101011	2719987
180	101171	2708574
181	101337	2697493
182	101523	2687035
183	101709	2676675
184	101882	2666116
185	102059	2655759
186	102240	2645612
187	102413	2635376
188	102578	2625027
189	102717	2614125
190	102927	2605151
191	103113	2595657
192	103288	2585985
193	103547	2578502
194	103730	2569208
195	103862	2558751
196	104068	2550200
197	104291	2542169
198	104458	2532857
199	104666	2524621
200	104818	2515122
201	104954	2505321
202	105104	2495962
203	105270	2487076
204	105424	2477982
205	105609	2469725
206	105798	2461622
207	105982	2453459
208	106162	2445307
209	106369	2437843
210	106524	2429272
211	106732	2421958
212	106915	2414174
213	107109	2406700
214	107311	2399475
215	107545	2393011
216	107702	2384909
217	107898	2377753
218	108057	2369834
219	108235	2362399
220	108421	2355220
221	108580	2347500
222	108800	2341173
223	108993	2334308
224	109152	2326804
225	109527	2323934
226	109874	2320492
227	110174	2316097
228	110394	2310051
229	110567	2303086
230	110823	2297901
231	111039	2291934
232	111325	2287444
233	111574	2282254
234	111751	2275620
235	111958	2269668
236	112085	2262138
237	112257	2255578
238	112385	2248179
239	112576	2242107
240	112759	2235933
241	112965	2230251
242	113124	2223682
243	113289	2217304
244	113489	2211657
245	113661	2205500
246	113930	2201263
247	114119	2195523
248	114449	2192537
249	114687	2187815
250	114935	2183306
251	115187	2178919
252	115406	2173953
253	115608	2168679
254	115820	2163649
255	115995	2157975
256	116143	2151831
257	116292	2145751
258	116505	2140910
259	116631	2134493
260	116810	2129093
261	116963	2123271
262	117118	2117518
263	117277	2111887
264	117464	2106788
265	117645	2101638
266	117777	2095635
267	117900	2089534
268	118060	2084118
269	118203	2078451
270	118420	2074117
271	118631	2069703
272	118804	2064666
273	119046	2060852
274	119322	2057663
275	119591	2054359
276	119728	2048836
277	119917	2044216
278	120140	2040220
279	120391	2036730
280	120555	2031788
281	120683	2026279
282	120882	2021999
283	121107	2018176
284	121268	2013319
285	121401	2008031
286	121569	2003346
287	121770	1999241
288	121905	1994083
289	122074	1989516
290	122271	1985438
291	122423	1980654
292	122593	1976195
293	122733	1971278
294	123010	1968590
295	123219	1964825
296	123441	1961309
297	123684	1958125
298	123954	1955408
299	124125	1951141
300	124300	1946956
301	124452	1942449
302	124626	1938316
303	124781	1933900
304	124980	1930211
305	125205	1926926
306	125355	1922534
307	125513	1918273
308	125646	1913656
309	125879	1910597
310	126061	1906775
311	126232	1902816
312	126410	1898994
313	126585	1895146
314	126784	1891671
315	126981	1888201
316	127239	1885642
317	127486	1882945
318	127734	1880261
319	127896	1876349
320	128062	1872509
321	128278	1869433
322	128462	1865899
323	128633	1862205
324	128761	1857897
325	128915	1854009
326	129071	1850159
327	129222	1846265
328	129380	1842493
329	129533	1838663
330	129697	1835027
331	129841	1831122
332	129999	1827428
333	130196	1824320
334	130361	1820761
335	130545	1817510
336	130701	1813871
337	130841	1810040
338	131017	1806728
339	131214	1803714
340	131377	1800257
341	131543	1796860
342	131694	1793282
343	131875	1790126
344	132043	1786814
345	132185	1783160
346	132364	1780036
347	132495	1776285
348	132678	1773241
349	132796	1769354
350	132950	1765958
351	133076	1762222
352	133281	1759544
353	133478	1756777
354	133658	1753789
355	133813	1750501
356	133978	1747371
357	134174	1744642
358	134355	1741737
359	134487	1738226
360	134678	1735480
361	134829	1732247
362	134981	1729032
363	135163	1726222
364	135301	1722865
365	135482	1720074
366	135618	1716718
367	135763	1713503
368	135911	1710343
369	136050	1707087
370	136228	1704333
371	136431	1701906
372	136620	1699311
373	136817	1696828
374	136971	1693836
375	137157	1691242
376	137298	1688118
377	137455	1685195
378	137608	1682251
379	137759	1679287
380	137926	1676530
381	138099	1673866
382	138243	1670863
383	138410	1668148
384	138587	1665575
385	138775	1663147
386	138904	1660018
387	139053	1657142
388	139209	1654364
389	139356	1651498
390	139508	1648709
391	139706	1646468
392	139863	1643754
393	140039	1641277
394	140216	1638827
395	140442	1636952
396	140606	1634374
397	140782	1631938
398	141078	1630905
399	141693	1633557
400	144917	1666190
401	145075	1663484
402	145285	1661385
403	145489	1659232
404	145704	1657209
405	145858	1654500
406	146038	1652108
407	146218	1649714
408	146378	1647115
409	146523	1644363
410	146672	1641663
411	146878	1639612
412	147005	1636679
413	147164	1634126
414	147342	1631802
415	147534	1629632
416	147663	1626787
417	147828	1624335
418	147971	1621673
419	148183	1619760
420	148367	1617562
421	148509	1614910
422	148686	1612650
423	148860	1610368
424	148999	1607722
425	149167	1605395
426	149379	1603552
427	149536	1601131
428	149699	1598779
429	149842	1596225
430	150023	1594086
431	150219	1592114
432	150400	1590000
433	150569	1587760
434	150697	1585101
435	150854	1582761
436	151034	1580663
437	151160	1578015
438	151325	1575788
439	151454	1573196
440	151624	1571031
441	151803	1568977
442	151964	1566746
443	152113	1564400
444	152274	1562188
445	152441	1560039
446	152593	1557755
447	152747	1555491
448	152921	1553446
449	153062	1551080
450	153232	1549011
451	153427	1547199
452	153604	1545216
453	153739	1542826
454	153913	1540830
455	154039	1538368
456	154210	1536360
457	154401	1534554
458	154552	1532364
459	154729	1530442
460	154879	1528259
461	155015	1525949
462	155218	1524296
463	155371	1522171
464	155564	1520437
465	155747	1518619
466	155920	1516709
467	156089	1514773
468	156264	1512897
469	156434	1510976
470	156596	1508990
471	156744	1506879
472	156913	1504973
473	157044	1502710
474	157211	1500803
475	157382	1498943
476	157538	1496950
477	157689	1494912
478	157857	1493044
479	158023	1491156
480	158191	1489309
481	158332	1487207
482	158500	1485370
483	158679	1483636
484	158831	1481658
485	159009	1479935
486	159173	1478085
487	159298	1475884
488	159479	1474202
489	159651	1472447
490	159833	1470795
491	159987	1468885
492	160158	1467138
493	160266	1464828
494	160396	1462726
495	160511	1460496
496	160691	1458854
497	160847	1457014
498	161031	1455431
499	161194	1453653
500	161379	1452096
501	161525	1450186
502	161685	1448404
503	161876	1446914
504	162058	1445339
505	162241	1443790
506	162429	1442288
507	162619	1440803
508	162793	1439182
509	162944	1437366
510	163104	1435635
