,learning_rate,max_depth,n_estimators,subsample,colsample_bytree,subsample_for_bin,num_leaves,min_child_samples,score
125,0.15,,1600.0,0.8,1.0,200000.0,31.0,20.0,0.7433280251721954
200,0.15,40.0,1600.0,0.9,1.0,200000.0,31.0,20.0,0.7433280251721954
164,0.15,25.0,1600.0,0.9,1.0,200000.0,31.0,20.0,0.7433280251721954
197,0.15,40.0,1600.0,0.8,1.0,200000.0,31.0,20.0,0.7433280251721954
194,0.15,40.0,1600.0,0.7,1.0,200000.0,31.0,20.0,0.7433280251721954
167,0.15,25.0,1600.0,1.0,1.0,200000.0,31.0,20.0,0.7433280251721954
131,0.15,,1600.0,1.0,1.0,200000.0,31.0,20.0,0.7433280251721954
161,0.15,25.0,1600.0,0.8,1.0,200000.0,31.0,20.0,0.7433280251721954
128,0.15,,1600.0,0.9,1.0,200000.0,31.0,20.0,0.7433280251721954
122,0.15,,1600.0,0.7,1.0,200000.0,31.0,20.0,0.7433280251721954
203,0.15,40.0,1600.0,1.0,1.0,200000.0,31.0,20.0,0.7433280251721954
158,0.15,25.0,1600.0,0.7,1.0,200000.0,31.0,20.0,0.7433280251721954
119,0.15,,1450.0,1.0,1.0,200000.0,31.0,20.0,0.7432129084246273
146,0.15,25.0,1450.0,0.7,1.0,200000.0,31.0,20.0,0.7432129084246273
152,0.15,25.0,1450.0,0.9,1.0,200000.0,31.0,20.0,0.7432129084246273
155,0.15,25.0,1450.0,1.0,1.0,200000.0,31.0,20.0,0.7432129084246273
116,0.15,,1450.0,0.9,1.0,200000.0,31.0,20.0,0.7432129084246273
113,0.15,,1450.0,0.8,1.0,200000.0,31.0,20.0,0.7432129084246273
110,0.15,,1450.0,0.7,1.0,200000.0,31.0,20.0,0.7432129084246273
149,0.15,25.0,1450.0,0.8,1.0,200000.0,31.0,20.0,0.7432129084246273
191,0.15,40.0,1450.0,1.0,1.0,200000.0,31.0,20.0,0.7432129084246273
188,0.15,40.0,1450.0,0.9,1.0,200000.0,31.0,20.0,0.7432129084246273
185,0.15,40.0,1450.0,0.8,1.0,200000.0,31.0,20.0,0.7432129084246273
182,0.15,40.0,1450.0,0.7,1.0,200000.0,31.0,20.0,0.7432129084246273
162,0.15,25.0,1600.0,0.8,1.0,240000.0,31.0,20.0,0.7428099998081389
132,0.15,,1600.0,1.0,1.0,240000.0,31.0,20.0,0.7428099998081389
204,0.15,40.0,1600.0,1.0,1.0,240000.0,31.0,20.0,0.7428099998081389
201,0.15,40.0,1600.0,0.9,1.0,240000.0,31.0,20.0,0.7428099998081389
123,0.15,,1600.0,0.7,1.0,240000.0,31.0,20.0,0.7428099998081389
126,0.15,,1600.0,0.8,1.0,240000.0,31.0,20.0,0.7428099998081389
