iter	Accuracy	MultiClass
0	0.6454174577	1.018405801
1	0.6421052632	0.9611244552
2	0.6524134588	0.9170849557
3	0.6506281052	0.8832212071
4	0.6543563437	0.8554114878
5	0.6558912631	0.8336001597
6	0.6563921315	0.8159553833
7	0.6566869976	0.8006638132
8	0.6565173486	0.7887700912
9	0.656662762	0.7776323288
10	0.6569253141	0.7689030578
11	0.6574584966	0.7614049853
12	0.6598416609	0.7558552468
13	0.6615139153	0.7496709087
14	0.6636345276	0.7457604435
15	0.6653916064	0.7418966373
16	0.665524902	0.7375108913
17	0.6637031951	0.7343384726
18	0.6678595953	0.7318601923
19	0.6681908147	0.729178946
20	0.6685018379	0.7270647549
21	0.669923658	0.7248763069
22	0.6707476673	0.7227949648
23	0.6721654482	0.7210241908
24	0.6722058408	0.7189349328
25	0.6725532173	0.7172727995
26	0.6727996122	0.7159152217
27	0.6732964414	0.7145361972
28	0.673506483	0.7128172293
29	0.6736963283	0.711455233
30	0.6738538595	0.7101507453
31	0.6743264531	0.7086638487
32	0.6753564648	0.7071292901
33	0.6753645434	0.7062959847
34	0.6755503494	0.7052864614
35	0.6761804742	0.7040671314
36	0.6765682433	0.7032409831
37	0.6768388739	0.7021891057
38	0.6769681302	0.7014213658
39	0.6774811165	0.7001575337
40	0.6780102597	0.6993901346
41	0.6780870057	0.6986881196
42	0.6784182251	0.6976447303
43	0.6790119966	0.6968227626
44	0.678971604	0.6959609642
45	0.6798844771	0.6952598242
46	0.6799006342	0.6945002734
47	0.6804620915	0.6936026855
48	0.6805994264	0.693046794
49	0.6806923294	0.6925330225
50	0.6820333643	0.6915637198
51	0.6820172073	0.691007853
52	0.6820535606	0.690514157
53	0.6820979925	0.6899511501
54	0.6824251727	0.6895155001
55	0.6825261542	0.6889918501
56	0.683156279	0.6882542052
57	0.6831926324	0.6877536828
58	0.6835561659	0.6873152542
59	0.6837540898	0.6868228928
60	0.6843640183	0.6861285652
61	0.6845902169	0.6855262598
62	0.6847477481	0.6851337828
63	0.6853617159	0.6845579224
64	0.6858100739	0.6840928532
65	0.6861776467	0.683347992
66	0.6862786283	0.683011409
67	0.6866462011	0.6823399911
68	0.686722947	0.6820047129
69	0.6867754574	0.6814586035
70	0.6882013168	0.6805934892
71	0.6886698711	0.6799797261
72	0.6889485802	0.6790178703
73	0.6890051299	0.678755026
74	0.6892717211	0.6784448823
75	0.6893727027	0.6778933659
76	0.6895827443	0.6775254656
77	0.6901401624	0.6769943596
78	0.6905885204	0.6767089724
79	0.6908227976	0.6764280475
80	0.6916064143	0.6760358912
81	0.691662964	0.6755823752
82	0.6921072828	0.6749163461
83	0.6923455992	0.674389913
84	0.692511209	0.673839638
85	0.6925314053	0.6735211456
86	0.692697015	0.6731791316
87	0.6928707032	0.6728129085
88	0.6931574908	0.6724944184
89	0.6935129458	0.6720328827
90	0.6938158905	0.671504996
91	0.6942278951	0.6710961439
92	0.6942238559	0.6705020384
93	0.694534879	0.6699410037
94	0.6947772347	0.6695381563
95	0.6950115119	0.6691795345
96	0.695754736	0.6686961293
97	0.6960819162	0.668400757
98	0.6963808216	0.6679815937
99	0.6964656461	0.6677710174
100	0.6967605122	0.6673241486
101	0.6971240457	0.6670664447
102	0.6970836531	0.6667097551
103	0.6971159672	0.6664676158
104	0.6974956578	0.66620064
105	0.6975118148	0.6659257212
106	0.6975926001	0.665625798
107	0.6979278588	0.6653894987
108	0.6982065678	0.6650030598
109	0.6983600598	0.6646786716
110	0.6989295957	0.6642227862
111	0.6989417135	0.6637949659
112	0.6991679121	0.6635201547
113	0.6993779537	0.6633281176
114	0.6993577574	0.6629710372
115	0.6995112493	0.662726624
116	0.6996889769	0.6623955027
117	0.6999151755	0.6620305404
118	0.7001090601	0.6616926799
119	0.7003191017	0.6613264304
120	0.700432201	0.6609911134
121	0.7005776144	0.6607973494
122	0.7008522842	0.6604234614
123	0.7012723674	0.6601290411
124	0.701466252	0.6596857321
125	0.7015631942	0.6593740673
126	0.7015672335	0.6590660552
127	0.7018055499	0.6587543067
128	0.7018015107	0.6584530134
129	0.7018580603	0.6582871937
130	0.7022054368	0.6580198673
131	0.702253908	0.6577802553
132	0.7022579472	0.6572340434
133	0.7025568526	0.6570031346
134	0.7025891667	0.6568284219
135	0.7028274831	0.6565792805
136	0.7030657996	0.656295053
137	0.7031667811	0.6560055063
138	0.7032516056	0.6558084663
139	0.7032919982	0.6554870031
140	0.7033929798	0.6552252424
141	0.7035383932	0.6549547085
142	0.7036918851	0.6546877756
143	0.7039786727	0.6545033182
144	0.7042291069	0.6541405652
145	0.7044553056	0.6538306242
146	0.7045684049	0.6534951716
147	0.7046613079	0.6533334575
148	0.7048107606	0.6531342012
149	0.7050248415	0.6528951439
150	0.705202569	0.6525715508
151	0.7054085713	0.6523185518
152	0.7056428485	0.6520684708
153	0.7058448116	0.6518421754
154	0.7058326938	0.6517287161
155	0.7060184998	0.6514809311
156	0.705990225	0.6512626272
157	0.7066365068	0.6507798098
158	0.7068586662	0.65049907
159	0.7069717656	0.6502279355
160	0.7070363937	0.6500378756
161	0.7072747102	0.6498648735
162	0.7075291837	0.6497515465
163	0.7075776548	0.6494406936
164	0.7077876964	0.6491659075
165	0.7078765602	0.6489745152
166	0.7080987196	0.6487622966
167	0.7080866018	0.6485548564
168	0.708090641	0.6483848864
169	0.70826029	0.6480867652
170	0.708353193	0.6478849681
171	0.7086238236	0.6477407787
172	0.7085955487	0.6475798852
173	0.7087288444	0.647362181
174	0.7090156319	0.6471885756
175	0.7091610454	0.6469637335
176	0.7092256735	0.6467919985
177	0.7097992487	0.6464494563
178	0.7100456437	0.646262355
179	0.7100779577	0.6460551084
180	0.7101264289	0.6457592346
181	0.7103930202	0.6455565849
182	0.7104293735	0.6453795978
183	0.7102758816	0.6452334569
184	0.7104576483	0.6450414363
185	0.7105990225	0.6448726634
186	0.710760593	0.6446871252
187	0.7107807893	0.6445121359
188	0.7108131034	0.6443540327
189	0.7109504383	0.6441868699
190	0.7111281658	0.6440575339
191	0.7112170295	0.6438314405
192	0.7113664822	0.6437193604
193	0.711394757	0.6434690383
194	0.7114189926	0.6432539469
195	0.7114028356	0.6430880888
196	0.7114028356	0.6429529806
197	0.7115805631	0.6427100098
198	0.7119602537	0.6423645795
199	0.7121702953	0.6421850326
200	0.7123722584	0.6418725521
201	0.7123843761	0.6416740808
202	0.7125015147	0.641432276
203	0.7125378681	0.6412336989
204	0.7126994385	0.6410947124
205	0.7127640667	0.6409728587
206	0.7128246557	0.6408510179
207	0.7129296765	0.6407297096
208	0.7131316395	0.6406008629
209	0.7132568566	0.640410216
210	0.7133497597	0.6401859741
211	0.7133376419	0.640030528
212	0.7134547805	0.6399058501
213	0.7135678798	0.6397448465
214	0.7136284687	0.6395559468
215	0.7136163509	0.6394561321
216	0.7138506281	0.6392447594
217	0.7140283556	0.639078833
218	0.7139798845	0.6389667272
219	0.714080866	0.6388524646
220	0.7142989861	0.6386510411
221	0.7142949469	0.6385057147
222	0.7142383972	0.6383217874
223	0.714250515	0.6380629179
224	0.7143636143	0.6378039958
225	0.714343418	0.6377051939
226	0.7145655774	0.6375665076
227	0.7146625197	0.6374674414
228	0.7147352264	0.6373364091
229	0.7148079331	0.6372142233
230	0.7148281294	0.6371194659
231	0.7148644828	0.6368349112
232	0.715114917	0.6366692458
233	0.7152360948	0.6366003692
234	0.7152562911	0.6364967861
235	0.7154420972	0.6363902872
236	0.7155026861	0.6362809373
237	0.7155269217	0.6361805419
238	0.7156077069	0.6360958214
239	0.7157652381	0.6359320639
240	0.7157248455	0.6358374391
241	0.7157935129	0.6356851307
242	0.7158056307	0.6355282503
243	0.7159187301	0.6353811466
244	0.7160520257	0.635154655
245	0.7161126146	0.6349169197
246	0.7163751666	0.6346073411
247	0.7164559519	0.6344416029
248	0.7164236378	0.634285879
249	0.7166417579	0.6340493353
250	0.7168558388	0.6338863586
251	0.7169608596	0.6337094589
252	0.7170254877	0.6335053601
253	0.7172112938	0.6333447216
254	0.7173243931	0.6331983369
255	0.7174092176	0.633037018
256	0.7174819243	0.6329766202
257	0.7174900028	0.632878222
258	0.7174132569	0.6327831951
259	0.7176960052	0.6326357668
260	0.7177848689	0.6324792961
261	0.7177283193	0.6323291898
262	0.71772428	0.6322028353
263	0.717801026	0.6320780121
264	0.7180999313	0.6318463207
265	0.7181241669	0.6317224347
266	0.7181282062	0.6315356595
267	0.7182695803	0.6312162536
268	0.7183907582	0.6310741556
269	0.7185200145	0.6309133895
270	0.7185563679	0.6306811193
271	0.7186573494	0.6305365462
272	0.7187946843	0.6304192727
273	0.7189522155	0.6303055149
274	0.7189845296	0.6301503375
275	0.7188875873	0.6299979043
276	0.7188593125	0.6299523279
277	0.7188795088	0.6298325229
278	0.7189602941	0.6297127237
279	0.7190249222	0.6295547185
280	0.7190612756	0.6294660091
281	0.719113786	0.6293599551
282	0.7191986105	0.6292638925
283	0.7192228461	0.6290885439
284	0.7194248091	0.6290134137
285	0.7194853981	0.6287803306
286	0.7195217514	0.6287173688
287	0.7195783011	0.6285783383
288	0.7196590863	0.6284815593
289	0.7197277538	0.6283721148
290	0.7199620309	0.6282178463
291	0.7199499132	0.6281458701
292	0.7201034051	0.6279790627
293	0.7202770933	0.6278443428
294	0.7203215252	0.6276927277
295	0.7203780749	0.6275985579
296	0.7203942319	0.6274463907
297	0.7204467423	0.6273324247
298	0.7204750172	0.6272074066
299	0.7204709779	0.6271358332
300	0.7204952135	0.6270955154
301	0.7205113705	0.6270173708
302	0.720596195	0.6269208841
303	0.7207012158	0.6268000588
304	0.7207577655	0.6267300151
305	0.7208466292	0.6266360991
306	0.7209435715	0.6264850199
307	0.7209072182	0.6263806119
308	0.7210001212	0.62621382
309	0.7211253383	0.6260459559
310	0.721214202	0.6258800685
311	0.721290948	0.6257681612
312	0.7213474977	0.6256368299
313	0.7213959688	0.6254899575
314	0.7215252252	0.6253260578
315	0.7214686755	0.6252326251
316	0.7214161651	0.6251630868
317	0.7215050289	0.6250152352
318	0.7216827564	0.6248878596
319	0.7218685624	0.624764371
320	0.7219372299	0.6246911337
321	0.7220180151	0.6246037187
322	0.7221189966	0.6244679612
323	0.7222159389	0.6243030463
324	0.7222805671	0.6242458273
325	0.7223330775	0.624139021
326	0.7224340591	0.6240119457
327	0.7224057842	0.6238946121
328	0.7225835117	0.6237696243
329	0.7226481399	0.6236955514
330	0.7227168074	0.6234964913
331	0.7228783778	0.6232651054
332	0.7230399483	0.6231430733
333	0.7231086157	0.6230366357
334	0.723189401	0.622932035
335	0.7232782647	0.6228411898
336	0.72335905	0.6226894068
337	0.7233913641	0.6225746191
338	0.7234883063	0.6223611823
339	0.7235367775	0.622178708
340	0.7236660338	0.6220902863
341	0.7237104657	0.6219845641
342	0.7237387406	0.6219042763
343	0.7238154865	0.6218436031
344	0.7238316436	0.6217914916
345	0.7238478006	0.6216638002
346	0.7239649392	0.6215834046
347	0.7239528214	0.6215325117
348	0.7240578422	0.6213833212
349	0.72406996	0.6212525239
350	0.7241749808	0.621135128
351	0.7241305489	0.6209114305
352	0.7242840409	0.6207924761
353	0.7242113342	0.6206842422
354	0.7243123157	0.6205050416
355	0.7243527083	0.620418744
356	0.7245910248	0.620231216
357	0.7246556529	0.6201474505
358	0.7246394959	0.6200501675
359	0.7247283597	0.6198977386
360	0.7247041241	0.6198165648
361	0.7246596922	0.6197353856
362	0.7246960456	0.6196054465
363	0.7246556529	0.6194528717
364	0.7248333805	0.6193092437
365	0.7250353435	0.6191398034
366	0.7251565214	0.6189991844
367	0.7251242073	0.6188847053
368	0.7252049925	0.6187977559
369	0.7253100133	0.6185896526
370	0.7252817385	0.6185368159
371	0.7254029163	0.6184653723
372	0.7254635053	0.6183964344
373	0.7255200549	0.6182781147
374	0.7254352304	0.618183778
375	0.7255281335	0.6180731365
376	0.7257018217	0.617964512
377	0.7258391566	0.6178137175
378	0.7258472351	0.6177656434
379	0.7258593529	0.617641148
380	0.7259926485	0.6175448747
381	0.7259764915	0.6174412802
382	0.7259562952	0.6173957764
383	0.7260370804	0.6173369389
384	0.7260693945	0.6173043691
385	0.7260693945	0.6172058871
386	0.7261461405	0.6170932614
387	0.7261824938	0.6169692015
388	0.7262390435	0.6169274918
389	0.7262632791	0.6168399601
390	0.7262713576	0.616726403
391	0.7262753969	0.6166096621
392	0.7264248495	0.6165207325
393	0.7264369673	0.6164299595
394	0.7265460274	0.6163585465
395	0.7265419881	0.6162132147
396	0.7266106556	0.6161100403
397	0.7266954801	0.6160150737
398	0.7267399119	0.6159376988
399	0.7267479905	0.6158368202
400	0.7267803046	0.6157132887
401	0.7267681868	0.6156081103
402	0.7268247364	0.6155526788
403	0.7269539928	0.6154719595
404	0.7270065032	0.6153018142
405	0.727018621	0.6151987719
406	0.727095367	0.6151548526
407	0.7271923092	0.6150382743
408	0.7273013693	0.6149793633
409	0.7273054086	0.6148916726
410	0.7273377227	0.6147711424
411	0.7277214525	0.6145542643
412	0.7277739629	0.6144955346
413	0.7277780022	0.6144325486
414	0.7278668659	0.614216038
415	0.7279516904	0.6140992548
416	0.7281173002	0.6140514513
417	0.7281213394	0.6139583477
418	0.7281294179	0.6139008664
419	0.7281819283	0.6138187635
420	0.7282263602	0.6136911513
421	0.7282546351	0.6136111443
422	0.7282667528	0.6134816749
423	0.7283111847	0.6133205767
424	0.7283677344	0.6132071449
425	0.7282869491	0.613092561
426	0.7283475381	0.6130024347
427	0.7284364018	0.612899722
428	0.7284444803	0.6128357138
429	0.7283233025	0.6127718907
430	0.7284040877	0.6127002725
431	0.728424284	0.6124812026
432	0.7284929515	0.612402064
433	0.7285212263	0.6123022538
434	0.7285656582	0.6122434674
435	0.7285979723	0.6120954074
436	0.7287393464	0.6119855526
437	0.7287393464	0.6118839941
438	0.7287151109	0.6116866694
439	0.7288766813	0.6115722982
440	0.7288686028	0.6114904277
441	0.7289291917	0.6114227536
442	0.7289736236	0.611384033
443	0.7290342125	0.6112596631
444	0.7291230763	0.6111328936
445	0.7291109585	0.6109880154
446	0.7290988407	0.6109076993
447	0.7292402149	0.6108390508
448	0.7292482934	0.6107942047
449	0.7292765682	0.6106841127
450	0.7293008038	0.6105855404
451	0.7292563719	0.610362594
452	0.7292967646	0.6103090911
453	0.7294098639	0.6102188158
454	0.7293613927	0.6101473822
455	0.7294462172	0.6100824195
456	0.729442178	0.6100055959
457	0.7294825706	0.6099379563
458	0.7295068062	0.6098630885
459	0.7296683766	0.6097940247
460	0.7296926122	0.6097480102
461	0.7297491619	0.6096662952
462	0.7298582219	0.6095944884
463	0.7300076746	0.6095165489
464	0.7300319102	0.6094342696
465	0.7300521065	0.609319145
466	0.7299955568	0.6091914487
467	0.7300117139	0.6091123856
468	0.730060185	0.6090280744
469	0.7300642243	0.6089686281
470	0.7300803813	0.6088846363
471	0.7300924991	0.6087852253
472	0.7301328917	0.6086905754
473	0.7301328917	0.6086491027
