iter	Passed	Remaining
0	131	656862
1	193	484594
2	237	395015
3	287	359433
4	333	333284
5	385	321261
6	437	311986
7	487	303982
8	538	298566
9	589	294176
10	637	289271
11	699	290768
12	758	291134
13	812	289331
14	861	286417
15	910	283562
16	962	282002
17	1019	282151
18	1072	281188
19	1124	279951
20	1176	278980
21	1229	278121
22	1280	277113
23	1330	275860
24	1386	275885
25	1437	275014
26	1488	274141
27	1539	273333
28	1595	273424
29	1646	272786
30	1696	271969
31	1748	271424
32	1809	272388
33	1859	271583
34	1904	270110
35	1956	269768
36	2003	268748
37	2058	268791
38	2112	268663
39	2161	268041
40	2208	267064
41	2263	267152
42	2317	267176
43	2370	267011
44	2419	266454
45	2471	266126
46	2526	266238
47	2575	265685
48	2622	264964
49	2669	264297
50	2734	265355
51	2784	264920
52	2831	264270
53	2880	263852
54	2931	263574
55	2985	263600
56	3037	263392
57	3083	262730
58	3130	262172
59	3180	261831
60	3234	261917
61	3285	261665
62	3335	261408
63	3391	261594
64	3443	261462
65	3498	261554
66	3546	261129
67	3601	261232
68	3647	260693
69	3702	260787
70	3758	260947
71	3812	260933
72	3876	261623
73	3926	261346
74	3978	261235
75	4027	260921
76	4076	260607
77	4129	260599
78	4179	260335
79	4227	260000
80	4278	259850
81	4328	259592
82	4384	259734
83	4438	259772
84	4488	259537
85	4539	259359
86	4592	259365
87	4648	259468
88	4696	259158
89	4750	259179
90	4816	259817
91	4867	259686
92	4920	259648
93	4972	259526
94	5022	259297
95	5077	259361
96	5131	259376
97	5179	259094
98	5230	258959
99	5282	258852
100	5340	259049
101	5390	258866
102	5447	258983
103	5505	259187
104	5578	260077
105	5636	260241
106	5696	260473
107	5749	260421
108	5800	260291
109	5854	260260
110	5916	260593
111	5987	261319
112	6042	261318
113	6099	261417
114	6169	262077
115	6222	261972
116	6278	262033
117	6327	261797
118	6379	261648
119	6438	261843
120	6493	261832
121	6556	262160
122	6651	263717
123	6745	265238
124	6834	266537
125	6920	267719
126	6992	268284
127	7070	269115
128	7152	270057
129	7223	270597
130	7307	271621
131	7393	272648
132	7488	274029
133	7559	274522
134	7639	275299
135	7715	275932
136	7790	276547
137	7850	276605
138	7913	276760
139	7980	277032
140	8037	276982
141	8094	276925
142	8174	277643
