,subsample,gamma,learning_rate,max_depth,score
90,0.885,1.0,0.45,6.0,0.7435774447919264
114,0.95,0.5,0.45,6.0,0.743423955795169
18,0.75,1.0,0.45,6.0,0.7432320945492219
74,0.885,0.5,0.425,6.0,0.7431169778016538
130,0.95,1.0,0.55,6.0,0.7430977916770591
86,0.885,1.0,0.425,6.0,0.7430786055524644
102,0.885,1.5,0.45,6.0,0.742982674929491
134,0.95,1.5,0.425,6.0,0.742982674929491
6,0.75,0.5,0.45,6.0,0.7427140691851654
30,0.75,1.5,0.45,6.0,0.7426948830605706
123,0.95,1.0,0.425,9.0,0.742541394063813
94,0.885,1.0,0.55,6.0,0.7424646495654341
106,0.885,1.5,0.55,6.0,0.7423303466932715
38,0.825,0.5,0.425,6.0,0.7422919744440819
26,0.75,1.5,0.425,6.0,0.7422727883194874
63,0.825,1.5,0.425,9.0,0.7420809270735405
139,0.95,1.5,0.45,9.0,0.7420233686997565
62,0.825,1.5,0.425,6.0,0.7420233686997565
126,0.95,1.0,0.45,6.0,0.7420233686997565
78,0.885,0.5,0.45,6.0,0.7418698797029988
70,0.825,1.5,0.55,6.0,0.741850693578404
142,0.95,1.5,0.55,6.0,0.7418123213292147
138,0.95,1.5,0.45,6.0,0.7417163907062413
42,0.825,0.5,0.45,6.0,0.7416780184570518
110,0.95,0.5,0.425,6.0,0.7416396462078625
66,0.825,1.5,0.45,6.0,0.7415820878340784
54,0.825,1.0,0.45,6.0,0.7415053433356997
50,0.825,1.0,0.425,6.0,0.7414669710865102
122,0.95,1.0,0.425,6.0,0.7414285988373208
107,0.885,1.5,0.55,9.0,0.7414094127127262
99,0.885,1.5,0.425,9.0,0.7413710404635366
118,0.95,0.5,0.55,6.0,0.741294295965158
51,0.825,1.0,0.425,9.0,0.7412367375913738
104,0.885,1.5,0.45,12.0,0.7411408069684005
98,0.885,1.5,0.425,6.0,0.7411024347192111
82,0.885,0.5,0.55,6.0,0.7410832485946164
100,0.885,1.5,0.425,12.0,0.7410256902208324
46,0.825,0.5,0.55,6.0,0.7410065040962375
140,0.95,1.5,0.45,12.0,0.7409873179716429
31,0.75,1.5,0.45,9.0,0.7409297595978588
143,0.95,1.5,0.55,9.0,0.7408530150994801
103,0.885,1.5,0.45,9.0,0.7408338289748854
2,0.75,0.5,0.425,6.0,0.7408146428502906
58,0.825,1.0,0.55,6.0,0.7407570844765065
135,0.95,1.5,0.425,9.0,0.7407378983519118
111,0.95,0.5,0.425,9.0,0.7406803399781278
87,0.885,1.0,0.425,9.0,0.7406611538535331
91,0.885,1.0,0.45,9.0,0.7406419677289384
136,0.95,1.5,0.425,12.0,0.7405844093551543
127,0.95,1.0,0.45,9.0,0.7405076648567757
67,0.825,1.5,0.45,9.0,0.7402006868632603
14,0.75,1.0,0.425,6.0,0.7401815007386658
68,0.825,1.5,0.45,12.0,0.740104756240287
64,0.825,1.5,0.425,12.0,0.7400663839910976
75,0.885,0.5,0.425,9.0,0.739989639492719
55,0.825,1.0,0.45,9.0,0.7399128949943401
27,0.75,1.5,0.425,9.0,0.739855336620556
79,0.885,0.5,0.45,9.0,0.7397018476237984
34,0.75,1.5,0.55,6.0,0.7397018476237984
22,0.75,1.0,0.55,6.0,0.739605917000825
131,0.95,1.0,0.55,9.0,0.7392605667581207
95,0.885,1.0,0.55,9.0,0.7391262638859576
128,0.95,1.0,0.45,12.0,0.7389535887646055
39,0.825,0.5,0.425,9.0,0.7388384720170372
10,0.75,0.5,0.55,6.0,0.7388000997678479
43,0.825,0.5,0.45,9.0,0.7387809136432532
71,0.825,1.5,0.55,9.0,0.7385698662727116
15,0.75,1.0,0.425,9.0,0.7384355634005487
115,0.95,0.5,0.45,9.0,0.7382628882791966
19,0.75,1.0,0.45,9.0,0.738224516030007
35,0.75,1.5,0.55,9.0,0.7381093992824389
32,0.75,1.5,0.45,12.0,0.7379367241610866
59,0.825,1.0,0.55,9.0,0.7378599796627079
124,0.95,1.0,0.425,12.0,0.737668118416761
144,0.95,1.5,0.55,12.0,0.7374186987970299
28,0.75,1.5,0.425,12.0,0.7373995126724353
88,0.885,1.0,0.425,12.0,0.7373995126724353
3,0.75,0.5,0.425,9.0,0.7369966040559467
119,0.95,0.5,0.55,9.0,0.7366512538132423
52,0.825,1.0,0.425,12.0,0.7366128815640529
23,0.75,1.0,0.55,9.0,0.7364977648164848
72,0.825,1.5,0.55,12.0,0.736037297826212
47,0.825,0.5,0.55,9.0,0.7360181117016174
108,0.885,1.5,0.55,12.0,0.7359989255770228
92,0.885,1.0,0.45,12.0,0.7356919475835076
132,0.95,1.0,0.55,12.0,0.7353849695899926
7,0.75,0.5,0.45,9.0,0.7352506667178297
83,0.885,0.5,0.55,9.0,0.7350588054718828
116,0.95,0.5,0.45,12.0,0.7350588054718828
96,0.885,1.0,0.55,12.0,0.7349436887243146
56,0.825,1.0,0.45,12.0,0.7346367107307995
36,0.75,1.5,0.55,12.0,0.7339268241207958
20,0.75,1.0,0.45,12.0,0.7337733351240383
16,0.75,1.0,0.425,12.0,0.7329099595172771
76,0.885,0.5,0.425,12.0,0.7323151896548417
80,0.885,0.5,0.45,12.0,0.7321808867826788
112,0.95,0.5,0.425,12.0,0.7321617006580841
60,0.825,1.0,0.55,12.0,0.7319314671629479
11,0.75,0.5,0.55,9.0,0.7314710001726752
40,0.825,0.5,0.425,12.0,0.7307802996872662
44,0.825,0.5,0.45,12.0,0.7302622743232094
93,0.885,1.0,0.55,3.0,0.7300895992018572
9,0.75,0.5,0.55,3.0,0.7295715738378005
