,Unnamed: 0,Unnamed: 0.1,subsample,gamma,learning_rate,max_depth,score
0,0,12,0.885,1.0,0.45,6.0,0.7435774447919264
1,0,14,0.95,0.5,0.45,6.0,0.743423955795169
2,1,4,0.885,0.9925,0.45,6.0,0.7433855835459795
3,1,7,0.885125,0.975,0.45,6.0,0.7433855835459795
4,2,9,0.88505,1.0075,0.45,6.0,0.7432896529230061
5,1,2,0.75,1.0,0.45,6.0,0.7432320945492219
6,3,2,0.88495,1.0,0.45,6.0,0.7432320945492219
7,3,74,0.885,0.5,0.425,6.0,0.7431169778016538
8,2,19,0.95,1.0,0.55,6.0,0.7430977916770591
9,1,4,0.885,1.0,0.425,6.0,0.7430786055524644
10,2,8,0.885125,1.0,0.45,6.0,0.7430594194278698
11,3,7,0.8,1.0,0.45,6.0,0.7430594194278698
12,6,102,0.885,1.5,0.45,6.0,0.742982674929491
13,7,134,0.95,1.5,0.425,6.0,0.742982674929491
14,4,9,0.8,1.0,0.55,6.0,0.7428099998081389
15,1,24,0.95,0.65,0.45,7.0,0.742790813683544
16,4,8,0.88505,1.0,0.45,6.0,0.7427524414343547
17,8,6,0.75,0.5,0.45,6.0,0.7427140691851654
18,9,30,0.75,1.5,0.45,6.0,0.7426948830605706
19,2,2,0.95,0.35,0.4375,6.0,0.7426181385621919
20,3,1,0.884875,0.975,0.45,6.0,0.7425989524375971
21,3,27,0.95,0.65,0.4625,7.0,0.7425605801884079
22,10,123,0.95,1.0,0.425,9.0,0.742541394063813
23,4,4,0.885,0.975,0.45,6.0,0.742541394063813
24,5,16,0.95,1.0,0.4,6.0,0.7425030218146237
25,6,14,0.885,1.0,0.55,6.0,0.7424646495654341
26,4,9,0.95,0.35,0.4625,7.0,0.7424454634408396
27,1,8,0.885,1.0025,0.45,6.0,0.7424454634408396
28,2,1,0.88,1.0,0.425,6.0,0.7423687189424608
29,5,9,0.885125,1.025,0.45,6.0,0.7423495328178661
30,3,4,0.885,1.0,0.525,6.0,0.7423303466932715
31,12,106,0.885,1.5,0.55,6.0,0.7423303466932715
32,5,12,0.95,0.5,0.4375,7.0,0.7423303466932715
33,13,38,0.825,0.5,0.425,6.0,0.7422919744440819
34,7,11,0.885,1.0,0.4,6.0,0.7422919744440819
35,14,26,0.75,1.5,0.425,6.0,0.7422727883194874
36,2,7,0.885,1.0025,0.445,6.0,0.7422727883194874
37,3,9,0.89,1.0,0.475,6.0,0.742234416070298
38,6,5,0.95,0.35,0.45,6.0,0.7421768576965138
39,5,6,0.885,1.0075,0.45,6.0,0.7421576715719191
40,7,3,0.95,0.35,0.4375,7.0,0.7421192993227298
41,8,26,0.95,0.65,0.4625,6.0,0.7421001131981351
42,4,3,0.88,1.0,0.475,6.0,0.7421001131981351
43,15,63,0.825,1.5,0.425,9.0,0.7420809270735405
44,3,2,0.885,0.9975,0.45,6.0,0.7420617409489457
45,9,17,0.95,0.5,0.4625,6.0,0.7420617409489457
46,1,1,0.725,1.0,0.425,6.0,0.7420617409489457
47,8,17,0.95,1.0,0.45,6.0,0.7420233686997565
48,17,62,0.825,1.5,0.425,6.0,0.7420233686997565
49,6,8,0.89,1.0,0.45,6.0,0.7420233686997565
50,5,6,0.885,1.0,0.475,6.0,0.7420233686997565
51,16,139,0.95,1.5,0.45,9.0,0.7420233686997565
52,4,3,0.885,0.9975,0.455,6.0,0.7419849964505669
53,4,10,0.95,1.0,0.525,6.0,0.7419658103259723
54,5,1,0.885,0.9975,0.445,6.0,0.7419466242013777
55,10,6,0.95,0.35,0.45,7.0,0.7419082519521882
56,19,78,0.885,0.5,0.45,6.0,0.7418698797029988
57,5,7,0.925,1.0,0.525,6.0,0.741850693578404
58,20,70,0.825,1.5,0.55,6.0,0.741850693578404
59,6,3,0.884875,1.025,0.45,6.0,0.7418123213292147
60,21,142,0.95,1.5,0.55,6.0,0.7418123213292147
61,11,8,0.95,0.35,0.4625,6.0,0.7417931352046201
62,22,138,0.95,1.5,0.45,6.0,0.7417163907062413
63,7,6,0.885,1.025,0.45,6.0,0.7416780184570518
64,23,42,0.825,0.5,0.45,6.0,0.7416780184570518
65,12,18,0.95,0.5,0.4625,7.0,0.7416588323324573
