,subsample,gamma,learning_rate,max_depth,score
12,0.885,1.0,0.45,6.0,0.7435774447919264
2,0.75,1.0,0.45,6.0,0.7432320945492219
19,0.95,1.0,0.55,6.0,0.7430977916770591
7,0.8,1.0,0.45,6.0,0.7430594194278698
9,0.8,1.0,0.55,6.0,0.7428099998081389
16,0.95,1.0,0.4,6.0,0.7425030218146237
14,0.885,1.0,0.55,6.0,0.7424646495654341
11,0.885,1.0,0.4,6.0,0.7422919744440819
17,0.95,1.0,0.45,6.0,0.7420233686997565
10,0.8,1.0,0.6,6.0,0.741543715584889
18,0.95,1.0,0.5,6.0,0.7414669710865102
13,0.885,1.0,0.5,6.0,0.7414094127127262
1,0.75,1.0,0.4,6.0,0.7412559237159685
20,0.95,1.0,0.6,6.0,0.7411024347192111
8,0.8,1.0,0.5,6.0,0.7406995261027224
3,0.75,1.0,0.5,6.0,0.7406611538535331
6,0.8,1.0,0.4,6.0,0.7403733619846127
5,0.75,1.0,0.6,6.0,0.739605917000825
4,0.75,1.0,0.55,6.0,0.739605917000825
15,0.885,1.0,0.6,6.0,0.7394908002532569
